batch_size,ipc,cycles,cpu energy,dram energy
20,6708847330,6374725612,35.647858,0.889158
21,6532551907,6217715132,37.442043,0.865049
22,6466285753,6156313116,33.853429,0.848203
23,6394506528,6083127733,33.993505,0.82617
24,6583262064,6567946910,37.362881,1.03558
25,6326368382,6015394998,35.137117,0.831662
26,6254190905,5932977964,31.135907,0.804564
27,6188034728,5826009427,24.86749,0.88104
28,6187470648,5811306909,23.399965,0.90753
29,6113961842,5784807269,23.527345,0.914793
30,6451259013,6420541016,25.957819,1.180783
31,6049624619,5732388569,22.685672,0.916563
32,6051329151,5716516604,23.297548,0.899473
33,5981292240,5606173663,22.270817,0.885069
34,5982064623,5618107815,23.383607,0.883543
35,5399760005,5148701888,19.809031,0.790342
36,5911478216,5560753808,22.377506,0.85217
37,5907633463,5534881789,22.259464,0.852903
38,5846120719,5666738591,21.394172,0.917356
39,5845432035,5569188038,22.909793,0.878294
40,5846153235,5537558753,22.474979,0.856687
