Epochs,ins,cycles,accuracy,cpu energy,dram energy
50,6224977502,6267256739,0.9473684430122375,41.302019,1.838924
49,6053503285,6202659642,0.9824561476707458,41.851395,1.876521
48,5981191304,6113278312,0.9824561476707458,41.937637,1.863948
47,5903223785,6026884453,0.9824561476707458,32.807106,2.021052
46,6072075563,6607548581,0.9736841917037964,29.966049,2.995842
45,5750470000,5904471186,0.9736841917037964,28.313038,2.345942
44,5677481486,5668967625,0.9912280440330505,25.801875,2.033869
43,5602410282,5613239224,0.9561403393745422,30.094162,2.308405
42,5525824342,5231630108,0.9736841917037964,20.628305,1.248227
41,5454914910,5494657664,0.9912280440330505,24.195739,1.871821
40,5705230688,5892644772,0.9649122953414917,23.081301,1.803706
39,5306193835,5089532119,0.9824561476707458,21.989141,1.095639
38,5231788979,4951581330,0.9736841917037964,17.977127,0.869992
37,5159376758,4845935346,0.9736841917037964,19.641978,0.82678
36,5084710799,5311453576,0.9824561476707458,24.906003,2.20849
35,5010876574,4904205672,0.9824561476707458,21.746588,1.381283
34,4934510364,4691326150,0.9736841917037964,19.741343,0.866636
33,5217937041,5306024520,0.9736841917037964,20.038584,1.142819
32,4789367120,4796244892,0.9649122953414917,21.251776,1.441403
31,4712494879,4595345579,0.9824561476707458,19.555553,1.057432
30,4638625700,4367325113,0.9824561476707458,16.694537,0.720885
