layers,ins,cycles,accuracy,cpu energy,dram energy
1,13152809785,12776851897,0.9824561476707458,82.582003,1.978206
2,13900559135,13395208865,0.9649122953414917,88.48006,2.053889
3,14732313842,14033688533,0.9736841917037964,76.048389,2.395136
4,15822486359,15291890893,0.9561403393745422,75.053091,2.917717
5,16431516970,15485811478,0.9912280440330505,76.291431,2.825921
6,17253563476,16103797748,0.9561403393745422,83.921782,2.974053
7,18083864411,16735991150,0.9649122953414917,84.812039,3.107231
8,19314093147,18346122292,0.9473684430122375,90.419812,3.635611
9,19825695707,18258651278,0.9736841917037964,88.468158,3.425528
10,20662858366,18869277303,0.9649122953414917,96.305173,3.617605
11,21886797079,20504183776,0.9561403393745422,103.127666,4.141591
12,22347072155,20280346969,0.9385964870452881,102.121809,3.941518
13,23500818232,21930859823,0.9736841917037964,109.007838,4.494984
14,24005150285,21658417845,0.9824561476707458,110.626059,4.293263
15,24813916878,22894699436,0.9473684430122375,116.778937,4.61449
16,25954447590,24170968727,0.9912280440330505,122.973867,5.200548
17,26512568322,23735357219,0.9736841917037964,123.997852,4.86388
18,27795818181,25897896037,0.9736841917037964,130.936066,5.66649
19,28206742690,25289008539,0.9561403393745422,132.132962,5.186266
20,29597943656,27263476458,0.9736841917037964,141.400029,6.021897
